sitios;Lat;Long;Rangos Prof.;Región;T ;Sal;Den;O2%;Chla;Ptrars;Orthyc;Gzolvc;Nclncs;Arczbr;Mcmtnt;Trgnca;Lvcrds;Xnphrl;Nclnac;Prpmsd;Tllnpr;Csmsp.;Abrlng;Plystt;Nmcrdt;Pctnch;Aqpctl;Nldltt;Nmcrdp;Brbtcn;Llsp.1;Lptchb;Prtlnn;Lvdntc;Tllnpr;Smrsst;Ccclnm;Prmymr;Mcmpsd;Lvcrdl;Tllnmr;Nclplc;Clyptc;Prmyrs;Scphwr;Flgrfb;Nsssp.;Nelsp.;Mlnclr;Nclnvt;Tllnjt;Lcsyrv;Crdmyp;Plrbri;Ntcrth;Nclsp.;Cccsp.;Lvcrdp;Antsp.;Tndrcy;Cmpsdg;Orthys;Pzllor;Sirtsb;Entlnp;Ccclnr;Dntlma;Cplsp.
1;12,57;-71,84;200-330;N;14,417417;35,778227;28,059019;5,66125;0;0;1;0;0;0;0;0;0;46;22;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;17
2;12,4;-72,26;200-330;N;14,558083;35,810727;28,035274;5,65875;0,002272727;0;2;0;0;0;0;0;0;0;41;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;0;0;0;1
3;12,25;-72,55;200-330;N;13,257708;35,587091;28,183314;5,4225;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
4;12,53;-72,13;370-550;N;9,985375;35,089023;29,05506;5,2225;0;0;29;6;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;2;0;0;0;0;0;42;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0
5;12,49;-72,26;370-550;N;10,176167;35,116886;29,001894;5,24875;0,015909091;0;46;8;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;3;0;0;0;0;0;24;0;4;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
6;11,49;-73,39;370-550;N;9,59125;35,049932;29,153155;5,0158333;0,009090909;0;3;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5
7;11,44;-73,54;200-330;N;13,877917;35,700545;28,099132;5,32125;0;0;7;0;0;0;0;0;0;0;13;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;4;0;0;0;0
8;11,37;-73,76;200-330;N;13,894583;35,707477;28,083191;5,3504167;0;0;31;0;0;0;0;0;0;31;17;0;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;5;7;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;4;0;0;0;2;0;0;0;0;0;1;1;0;3;0;2
9;11,49;-73,45;200-330;N;13,854833;35,696523;28,10985;5,32;0,0125;0;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
10;11,45;-73,7;370-550;N;8,6380417;34,872773;29,263933;5,1595833;0,009090909;0;8;17;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;7;0;1;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
